id Объекта;Объект;Адрес;id Ведомственной Организации;Ведомственная Организация;Доступность;Доступность;Широта (Latitude);Долгота (Longitude)
100276;Дворовая территория;Осташковская улица, дом 7, корпус 3;237368;Управа Бабушкинского района города Москвы;4;Шаговая доступность;55.876214430494315;37.67489410337702
100282;Спортивный зал «ГБУ ТЦ СО «Ярославский»;Палехская улица, дом 11, корпус 2;237336;Департамент труда и социальной защиты населения города Москвы;3;Районное;55.866610171067265;37.696502378392516
100288;Спортивный комплекс образовательного учреждения;Прудовой проезд, дом 9;NULL;NULL;4;Шаговая доступность;55.815257246657644;37.61553023042212
100299;Спортивный зал «клуб Синдо»;Снежная улица, дом 13, корпус 1;NULL;NULL;3;Районное;55.852162;37.64551
100322;Дворовая территория;Череповецкая улица, дом 15;237382;Управа района Лианозово города Москвы;4;Шаговая доступность;55.899356;37.584901
100324;Спортивный комплекс дошкольного образовательного учреждения;Псковская улица, дом 2, корпус 3;219814;Департамент образования и науки города Москвы;4;Шаговая доступность;55.902071;37.554708
100327;Парк, озелененная городская территория «Джамгаровский парк»;Стартовая улица, дом 10;237332;Департамент культуры города Москвы;2;Окружное;55.88867736399083;37.69652871827696
100328;Комплекс спортивных сооружений «Борисовские Пруды» ГБУ «СШОР № 44» Департамента спорта города Москвы;улица Борисовские Пруды, дом 2;219165;Москомспорт.;2;Окружное;55.63461845570866;37.703898678441945
100329;Физкультурно-оздоровительный комплекс с бассейном «Братеево»;улица Борисовские Пруды, дом 20, корпус 3Б;219165;Москомспорт.;3;Районное;55.636199;37.753928
100330;Конно-спортивная база «Спортивная школа «Битца»;Балаклавский проспект, дом 33;219165;Москомспорт.;1;Городское;55.642149702850396;37.58309683257861
100331;Спортивный зал «ГБУ «Спортивная школа № 76» Департамента спорта города Москвы»;Бескудниковский бульвар, дом 12;219165;Москомспорт.;3;Районное;55.861802;37.562955
100332;Физкультурно-оздоровительный комплекс «ГБУ «Московская баскетбольная академия» Москомспорта структурное подразделение СШОР № 56»;Новосибирская улица, дом 11А;219165;Москомспорт.;3;Районное;55.815949;37.817915
100384;Спортивный комплекс дошкольного образовательного учреждения;улица Плещеева, дом 8Б;219814;Департамент образования и науки города Москвы;4;Шаговая доступность;55.884691;37.610574
100396;Спортивный комплекс дошкольного образовательного учреждения;улица Красного Маяка, дом 13Г;219814;Департамент образования и науки города Москвы;4;Шаговая доступность;55.60946686696696;37.58121053464496
